Variable,Importancia,Importancia_porcentaje
tiene_bolsillos,0.38949135,38.949135
grupo_edad_50-65,0.11258951,11.258951
grupo_edad_65+,0.10443993,10.443993
grupo_edad_26-35,0.0663451,6.6345105
desc_segmento_PREFERENCIAL,0.063318975,6.3318977
log_saldo_promedio_ahorro,0.041657086,4.1657085
actividad_bolsillo,0.033718273,3.3718274
grupo_edad_36-49,0.026906183,2.6906183
saldo_promedio_ahorro,0.022991696,2.2991695
num_productos_no_inversion,0.019539893,1.9539893
grupo_edad_18-25,0.016890246,1.6890247
desc_genero_MASCULINO,0.014729155,1.4729155
estimador_ingreso,0.009331845,0.9331845
desc_segmento_PLUS,0.009237204,0.92372036
saldo_minimo_bolsillo,0.008570958,0.8570958
desc_genero_FEMENINO,0.00785888,0.78588796
saldo_minimo_ahorro,0.0078109065,0.7810907
total_activos,0.007539485,0.7539485
ratio_activos_ingreso,0.007176446,0.7176446
meses_activos_bolsillo,0.006666374,0.6666374
saldo_promedio_bolsillo,0.006524682,0.6524682
saldo_maximo_bolsillo,0.005901323,0.5901323
ratio_ahorro_ingreso,0.0055537983,0.5553798
desc_segmento_PERSONAL,0.005210799,0.5210799
desc_genero_infrequent_sklearn,0.0,0.0
